X,Y,Z,Name
-149.8900754,-17.48502595,0,B01
-149.8789974,-17.48407291,0,B02
-149.8680093,-17.48708357,0,B03
-149.8500076,-17.48203431,0,B04
-149.8330243,-17.47903791,0,B05
-149.817006,-17.4751052,0,B06
-149.8060179,-17.47501962,0,B07
-149.7930032,-17.47504142,0,B08
-149.784034,-17.47311653,0,B09
-149.7610059,-17.50299658,0,B10
-149.7630263,-17.50800797,0,B10.5
-149.7650321,-17.52003858,0,B11
-149.7650068,-17.53003479,0,B12
-149.7640295,-17.53507536,0,B13
-149.7670031,-17.54101538,0,B14
-149.7830336,-17.56108142,0,B15
-149.7870237,-17.56906882,0,B16
-149.7890087,-17.58003791,0,B17
-149.7910031,-17.58706555,0,B18
-149.7990116,-17.59903814,0,B19
-149.8080135,-17.60301736,0,B20
-149.8170153,-17.60304478,0,B21
-149.8270235,-17.60303057,0,B22
-149.8360109,-17.59901949,0,B23
-149.8530028,-17.59306216,0,B24
-149.8611988,-17.59030952,0,B25
-149.8670019,-17.58507233,0,B26
-149.8820149,-17.56803335,0,B27
-149.885005,-17.5620469,0,B28
-149.892055,-17.55505668,0,B29
-149.8970362,-17.5501561,0,B30
-149.9020385,-17.54519569,0,B31
-149.9131145,-17.53511011,0,B32
-149.9219701,-17.51295802,0,B33
-149.9239964,-17.50400023,0,B34
-149.9230306,-17.49507859,0,B35
-149.8681211,-17.58651316,0,W01
-149.8672571,-17.58589868,0,W02
-149.8665473,-17.58436755,0,W04
-149.8660217,-17.58310542,0,W05
-149.8459399,-17.48067323,0,N01
-149.8462432,-17.48010639,0,N02
-149.8465646,-17.47922115,0,N03
-149.8454327,-17.4815111,0,N04
-149.8450202,-17.48204642,0,N05
-149.766,-17.5409,0,E01
-149.766,-17.5411,0,E02
-149.768,-17.5403,0,E03
-149.768,-17.5397,0,E04
